test_id;elapsed_time;temp_c;humidity_percent;airflow_level;sun_exposure;water_left_percent;evap_rate
1a;15;26.5;63;0;0;94;
1a;30;26.5;61;0;0;87;7
1a;45;26.5;63;0;0;82;5
1a;60;26.5;64;0;0;78;4
1a;75;26.5;61;0;0;74;4
1a;90;26.5;61;0;0;70.5;3.5
1a;105;26.5;63;0;0;67;3.5
1a;120;26.5;64;0;0;63;4
1a;150;26.5;61;0;0;54;9
1a;180;26.5;62;0;0;47;7
1a;210;26.5;59;0;0;38.5;8.5
1a;240;26.5;58;0;0;30.5;8
2a;15;33;45;1;1;81;
2a;30;30;50;1;1;65;16
2a;45;30;52;1;1;49;16
2a;60;29;52;1;1;31.5;17.5
2a;75;29;53;1;1;16.5;15
2a;90;29;52;1;1;7;9.5
2a;105;28;53;1;1;2.5;4.5
2b;15;29;50;0;0;88;
2b;30;29.5;47;0;0;78;10
2b;45;29.5;46;0;0;68;10
2b;60;29;48;0;0;58;10
2b;75;29;48;0;0;48.5;9.5
2b;90;29;46;0;0;39.5;9
2b;105;29;45;0;0;30;9.5
2b;120;29;48;0;0;23;7
2b;135;28.5;48;0;0;16;7
2b;150;28.5;49;0;0;10;6
2c;15;24;63;1;0;91;
2c;30;24;63;1;0;84;7
2c;45;23.5;64;1;0;77.5;6.5
2c;60;23.5;64;1;0;70;7.5
2c;75;23.5;66;1;0;64;6
2c;90;23.5;67;1;0;58;6
2c;105;23.5;69;1;0;53;5
2c;120;23;72;1;0;48.5;4.5
2c;135;23;74;1;0;44.5;4
2c;150;23;74;1;0;40.5;4
2d;15;23;56;1;1;82.5;
2d;30;23;58;1;1;71;11.5
2d;45;22.5;60;1;1;60.5;10.5
2d;60;22.5;62;1;1;51;9.5
2d;75;22.5;63;1;1;42;9
2d;90;22;64;1;1;35;7
2d;105;22;65;1;1;28.5;6.5
2d;120;22;66;1;1;23;5.5
3a;15;25.5;70;2;0;85.5;
3a;30;25.5;72;2;0;72.5;13
3a;45;25.5;73;2;0;59;13.5
3a;60;25.5;72;2;0;45.5;13.5
3a;75;25.5;71;2;0;34.5;11
3a;90;25.5;70;2;0;24;10.5
3b;15;24.5;66;0;0;95.5;
3b;30;24.5;67;0;0;91;4.5
3b;45;24.5;67;0;0;88;3
3b;60;24.5;68;0;0;84.5;3.5
3b;75;24.5;68;0;0;81;3.5
3b;90;24.5;68;0;0;78.5;2.5
3b;105;24.5;68;0;0;75;3.5
3b;120;24.5;68;0;0;72;3
3b;135;24.5;67;0;0;69;3
3a2;15;25;62;2;0;85;
3a2;30;25;63;2;0;71;14
3a2;45;25;64;2;0;56.5;14.5
3a2;60;25;65;2;0;43;13.5
3a2;75;25;65;2;0;30;13
3a2;90;25;65;2;0;18.5;11.5
3a2;105;24.5;65;2;0;10;8.5
3a2;120;24.5;65;2;0;5.5;4.5
3a3;15;23;67;2;0;86;
3a3;30;23;67;2;0;74;12
3a3;45;23;67;2;0;61.5;12.5
3a3;60;23;68;2;0;48.5;13
3a3;75;23;69;2;0;36.5;12
3a3;90;23;69;2;0;26.5;10
3a3;105;23;69;2;0;18;8.5
3a3;120;23;69;2;0;9.5;8.5
3a3;135;23;69;2;0;5;4.5
4a;15;25.5;100;0;0;96.5;
4a;30;25.5;99;0;0;93;3.5
4a;45;25.5;99;0;0;90;3
4a;60;25.5;100;0;0;87.5;2.5
4a;75;25.5;99;0;0;86;1.5
4a;90;25.5;97;0;0;84.5;1.5
4a;105;25.5;99;0;0;83.5;1
4a;120;25.5;100;0;0;83;0.5
4b;15;26;99;2;0;95;
4b;30;26;97;2;0;91;4
4b;45;26;98;2;0;87.5;3.5
4b;60;26;97;2;0;84;3.5
4b;75;26;96;2;0;80;4
4b;90;26;95;2;0;75;5
4b;105;26;92;2;0;69.5;5.5
4b;120;26;92;2;0;64.5;5
5a;15;20;52;0;0;94;
5a;30;19.5;51;0;0;88;6
5a;45;19.5;53;0;0;83;5
5a;60;19.5;52;0;0;76.5;6.5
5a;75;19.5;54;0;0;71.5;5
5a;90;20;55;0;0;66;5.5
5a;105;20;53;0;0;61;5
5a;120;20;52;0;0;55.5;5.5
5a;135;20;52;0;0;50.5;5
2e;15;25.5;63;0;1;90;
2e;30;25.5;63;0;1;81;9
2e;45;25;62;0;1;73.5;7.5
2e;60;25;64;0;1;67;6.5
2e;75;24.5;65;0;1;60.5;6.5
2e;90;24;67;0;1;55.5;5
2e;105;23.5;69;0;1;51;4.5
2e;120;23;70;0;1;48.5;2.5
1a2;15;23.5;61;0;0;94.5;
1a2;30;24;62;0;0;90;4.5
1a2;45;24;62;0;0;85.5;4.5
1a2;60;24;59;0;0;81;4.5
1a2;75;24;58;0;0;78;3
1a2;90;23.5;57;0;0;74;4
1a2;105;23.5;56;0;0;70;4
1a2;120;23.5;56;0;0;65.5;4.5